,date,rate_pct
29,2015-02-12,0.05367347731524511
30,2015-02-13,0.05361380810836591
31,2015-02-16,0.05340246579455347
32,2015-02-17,0.053429133595347025
33,2015-02-18,0.053509136998268016
34,2015-02-23,0.053526804416418695
35,2015-02-24,0.053505803523405206
36,2015-02-25,0.05346813525418659
37,2015-02-26,0.053536804843438514
38,2015-02-27,0.0539628230021183
39,2015-03-02,0.05438584122352911
40,2015-03-03,0.05482019332560724
41,2015-03-04,0.05534988319108406
42,2015-03-05,0.05582690426568041
43,2015-03-06,0.05606558154732655
44,2015-03-09,0.056471933060353585
45,2015-03-10,0.05676327949893922
46,2015-03-11,0.05673794502563112
47,2015-03-12,0.05677928021815548
48,2015-03-13,0.05693028703118719
49,2015-03-16,0.05691961988342209
50,2015-03-17,0.05643459817203933
51,2015-03-18,0.05617291981353152
52,2015-03-19,0.05608091571464394
53,2015-03-20,0.05606091482359317
54,2015-03-23,0.05631492618232518
55,2015-03-24,0.056484267115342046
56,2015-03-25,0.056733945006433764
57,2015-03-26,0.05708162740531615
58,2015-03-27,0.057224967253421966
59,2015-03-30,0.05747431199378076
60,2015-03-31,0.05762765234022711
61,2015-04-01,0.0579146655313482
62,2015-04-02,0.058179677770490525
63,2015-04-08,0.05845635726850299
64,2015-04-09,0.0588070402819311
65,2015-04-10,0.059204392250333804
66,2015-04-13,0.06015377047107935
67,2015-04-14,0.06091047346394503
68,2015-04-15,0.060928807683617116
69,2015-04-16,0.06078580075526233
70,2015-04-17,0.06035144652274763
71,2015-04-20,0.06012676909270912
72,2015-04-21,0.05982175453926134
73,2015-04-22,0.059632412201090126
74,2015-04-23,0.059336064838488856
75,2015-04-24,0.058942379631299335
76,2015-04-27,0.058578695925615154
77,2015-04-28,0.05810300715245834
78,2015-04-29,0.05776665831870309
79,2015-04-30,0.05746031093512386
80,2015-05-04,0.056875284254653824
81,2015-05-05,0.05653460216992201
82,2015-05-06,0.056204920691393934
83,2015-05-07,0.05584257117579779
84,2015-05-08,0.05539121783465495
85,2015-05-11,0.055107205344258794
86,2015-05-12,0.054631517928357035
87,2015-05-13,0.054205166160492535
88,2015-05-14,0.05390848674857729
89,2015-05-15,0.05368581054734367
90,2015-05-18,0.05324579184843303
91,2015-05-19,0.05272810337538051
92,2015-05-20,0.05236508823640573
93,2015-05-21,0.05187840143296614
94,2015-05-22,0.05152105347894971
95,2015-05-26,0.05230041844266342
96,2015-05-27,0.0524497578732704
97,2015-05-28,0.0527131020175912
98,2015-05-29,0.05381748127332534
99,2015-06-01,0.05459151434405636
100,2015-06-02,0.054834191538188914
101,2015-06-03,0.05490052775963076
102,2015-06-04,0.054974197643979185
103,2015-06-05,0.05497553103576136
104,2015-06-08,0.05507453536802338
105,2015-06-09,0.05543955139702961
106,2015-06-10,0.055797233900367615
107,2015-06-11,0.05605124522343925
108,2015-06-12,0.05600424312421544
109,2015-06-15,0.05601524361479315
110,2015-06-16,0.056241253762578935
111,2015-06-17,0.05646259706073945
112,2015-06-18,0.056707608118145014
113,2015-06-19,0.05692495131336035
114,2015-06-22,0.057337303446551115
115,2015-06-23,0.05738930582871449
116,2015-06-24,0.057598315419034776
117,2015-06-25,0.05788599532684883
118,2015-06-26,0.05818300905872468
119,2015-06-29,0.058591694733004886
120,2015-06-30,0.06072246130947404
121,2015-07-02,0.06155883536877275
122,2015-07-03,0.062068527142807486
123,2015-07-06,0.06247488069117679
124,2015-07-07,0.06259388663201933
125,2015-07-08,0.06145949766263037
126,2015-07-09,0.060473450104277696
127,2015-07-10,0.05961474270896512
128,2015-07-13,0.05820034382322629
129,2015-07-14,0.057406307543791016
130,2015-07-15,0.057072625695135194
131,2015-07-16,0.056958953875507756
132,2015-07-17,0.05695428699643568
133,2015-07-20,0.056946619981531235
134,2015-07-21,0.056876616811118996
135,2015-07-22,0.05677561225610657
136,2015-07-23,0.05675161117458064
137,2015-07-24,0.05680561361199876
138,2015-07-27,0.057085626305804674
139,2015-07-28,0.05737563951659178
140,2015-07-29,0.057455976530858724
141,2015-07-30,0.05784699445253727
142,2015-07-31,0.05902071519550504
143,2015-08-03,0.05949373747092072
144,2015-08-04,0.059434067977948146
145,2015-08-05,0.059490403986602505
146,2015-08-06,0.05954807338974059
147,2015-08-07,0.059428401051257275
148,2015-08-10,0.059348397270390464
149,2015-08-11,0.05905838360250233
150,2015-08-12,0.05722029992994611
151,2015-08-13,0.056742278357653955
152,2015-08-14,0.05641726377008475
153,2015-08-17,0.05618258659705703
154,2015-08-18,0.056014245746779004
155,2015-08-19,0.05600591204273734
156,2015-08-20,0.05585757209944919
157,2015-08-21,0.05554055804195546
158,2015-08-24,0.05547855530409299
159,2015-08-25,0.055937908896782254
160,2015-08-26,0.056264256774555634
161,2015-08-27,0.05642626402710589
162,2015-08-28,0.056360927762511004
163,2015-08-31,0.05637959526610207
164,2015-09-01,0.05643959796032642
165,2015-09-02,0.056182919789123556
166,2015-09-04,0.05626859027704582
167,2015-09-07,0.05605258061949595
168,2015-09-08,0.055766901245650015
169,2015-09-09,0.05552455719360545
170,2015-09-10,0.05552222375663588
171,2015-09-11,0.055059870116995015
172,2015-09-14,0.05376848149026096
173,2015-09-15,0.05328846114270498
174,2015-09-16,0.053076785519849214
175,2015-09-17,0.052957780495099804
176,2015-09-18,0.052684435674136644
177,2015-09-21,0.052371755922301734
178,2015-09-22,0.05216708075785892
179,2015-09-23,0.05206507652750029
180,2015-09-24,0.05189606954973576
181,2015-09-25,0.05165905979801858
182,2015-09-29,0.051539721574989095
